"CODE_MUNI";"STATE";"REGION";"region"
2804300;"SE";28;"nao metropolitana"
4302659;"RS";43;"nao metropolitana"
4205605;"SC";42;"nao metropolitana"
4322525;"RS";43;"nao metropolitana"
4215208;"SC";42;"nao metropolitana"
3505401;"SP";35;"nao metropolitana"
4103479;"PR";41;"nao metropolitana"
3145877;"MG";31;"nao metropolitana"
2515104;"PB";25;"nao metropolitana"
2511806;"PB";25;"nao metropolitana"
2614303;"PE";26;"nao metropolitana"
3553104;"SP";35;"nao metropolitana"
3149150;"MG";31;"nao metropolitana"
4305371;"RS";43;"nao metropolitana"
3102852;"MG";31;"nao metropolitana"
2933109;"BA";29;"nao metropolitana"
4115457;"PR";41;"nao metropolitana"
3172103;"MG";31;"nao metropolitana"
1500131;"PA";15;"nao metropolitana"
2604304;"PE";26;"nao metropolitana"
2916609;"BA";29;"nao metropolitana"
2410405;"RN";24;"nao metropolitana"
1501253;"PA";15;"nao metropolitana"
5107206;"MT";51;"nao metropolitana"
2106631;"MA";21;"nao metropolitana"
2606903;"PE";26;"nao metropolitana"
4302600;"RS";43;"nao metropolitana"
2307205;"CE";23;"nao metropolitana"
4310652;"RS";43;"nao metropolitana"
4101853;"PR";41;"nao metropolitana"
2612471;"PE";26;"nao metropolitana"
2913804;"BA";29;"nao metropolitana"
4113429;"PR";41;"nao metropolitana"
2701209;"AL";27;"nao metropolitana"
4315552;"RS";43;"nao metropolitana"
2611200;"PE";26;"nao metropolitana"
5213905;"GO";52;"nao metropolitana"
3157252;"MG";31;"nao metropolitana"
2310407;"CE";23;"nao metropolitana"
2609204;"PE";26;"nao metropolitana"
2911006;"BA";29;"nao metropolitana"
1706001;"TO";17;"nao metropolitana"
2929370;"BA";29;"nao metropolitana"
3101409;"MG";31;"nao metropolitana"
2926905;"BA";29;"nao metropolitana"
3162609;"MG";31;"nao metropolitana"
2515971;"PB";25;"nao metropolitana"
4307864;"RS";43;"nao metropolitana"
2914307;"BA";29;"nao metropolitana"
3143807;"MG";31;"nao metropolitana"
2308377;"CE";23;"nao metropolitana"
2205003;"PI";22;"nao metropolitana"
1715705;"TO";17;"nao metropolitana"
3512605;"SP";35;"nao metropolitana"
4306320;"RS";43;"nao metropolitana"
2505709;"PB";25;"nao metropolitana"
2501401;"PB";25;"nao metropolitana"
2924678;"BA";29;"nao metropolitana"
2401305;"RN";24;"nao metropolitana"
2414100;"RN";24;"nao metropolitana"
2100873;"MA";21;"nao metropolitana"
4203154;"SC";42;"nao metropolitana"
3134103;"MG";31;"nao metropolitana"
2905156;"BA";29;"nao metropolitana"
4213351;"SC";42;"nao metropolitana"
4209805;"SC";42;"nao metropolitana"
2924652;"BA";29;"nao metropolitana"
2105351;"MA";21;"nao metropolitana"
2930006;"BA";29;"nao metropolitana"
2509909;"PB";25;"nao metropolitana"
2920809;"BA";29;"nao metropolitana"
3539707;"SP";35;"nao metropolitana"
3101805;"MG";31;"nao metropolitana"
4217105;"SC";42;"nao metropolitana"
5212709;"GO";52;"nao metropolitana"
1501758;"PA";15;"nao metropolitana"
2110278;"MA";21;"nao metropolitana"
3541109;"SP";35;"nao metropolitana"
4202875;"SC";42;"nao metropolitana"
2402402;"RN";24;"nao metropolitana"
2612802;"PE";26;"nao metropolitana"
2800704;"SE";28;"nao metropolitana"
5219357;"GO";52;"nao metropolitana"
1717909;"TO";17;"nao metropolitana"
4320859;"RS";43;"nao metropolitana"
2311207;"CE";23;"nao metropolitana"
4115739;"PR";41;"nao metropolitana"
3557154;"SP";35;"nao metropolitana"
2207603;"PI";22;"nao metropolitana"
