"CODE_MUNI";"COD_UF";"ACR_UF";"HIERARCHY"
3128709;31;"MG";"nao metropolitana"
4207304;42;"SC";"metropolitana"
4303509;43;"RS";"nao metropolitana"
5006200;50;"MS";"nao metropolitana"
3542602;35;"SP";"nao metropolitana"
4311809;43;"RS";"nao metropolitana"
3500105;35;"SP";"metropolitana"
3540705;35;"SP";"nao metropolitana"
4318309;43;"RS";"metropolitana"
5102504;51;"MT";"nao metropolitana"
4218202;42;"SC";"nao metropolitana"
3549706;35;"SP";"nao metropolitana"
3537305;35;"SP";"nao metropolitana"
4318002;43;"RS";"nao metropolitana"
4115804;41;"PR";"nao metropolitana"
3159605;31;"MG";"nao metropolitana"
3164704;31;"MG";"nao metropolitana"
3127107;31;"MG";"nao metropolitana"
1503606;15;"PA";"nao metropolitana"
3534302;35;"SP";"nao metropolitana"
5100250;51;"MT";"nao metropolitana"
4110706;41;"PR";"nao metropolitana"
3171303;31;"MG";"metropolitana"
2601706;26;"PE";"nao metropolitana"
3304300;33;"RJ";"nao metropolitana"
3304706;33;"RJ";"metropolitana"
3152105;31;"MG";"metropolitana"
4219507;42;"SC";"nao metropolitana"
3113404;31;"MG";"nao metropolitana"
5005707;50;"MS";"nao metropolitana"
1718204;17;"TO";"nao metropolitana"
2802106;28;"SE";"nao metropolitana"
3115300;31;"MG";"nao metropolitana"
3126109;31;"MG";"nao metropolitana"
4107207;41;"PR";"nao metropolitana"
3549409;35;"SP";"nao metropolitana"
3120904;31;"MG";"metropolitana"
4106407;41;"PR";"nao metropolitana"
2932903;29;"BA";"nao metropolitana"
3524808;35;"SP";"metropolitana"
2803500;28;"SE";"nao metropolitana"
2904605;29;"BA";"nao metropolitana"
3553708;35;"SP";"nao metropolitana"
3519600;35;"SP";"nao metropolitana"
4313706;43;"RS";"nao metropolitana"
2306405;23;"CE";"nao metropolitana"
1100114;11;"RO";"nao metropolitana"
4322806;43;"RS";"metropolitana"
2612505;26;"PE";"nao metropolitana"
5001102;50;"MS";"metropolitana"
2604007;26;"PE";"nao metropolitana"
2917508;29;"BA";"nao metropolitana"
1500107;15;"PA";"nao metropolitana"
5213806;52;"GO";"nao metropolitana"
1302504;13;"AM";"nao metropolitana"
1716109;17;"TO";"nao metropolitana"
4204806;42;"SC";"nao metropolitana"
2301109;23;"CE";"nao metropolitana"
1100288;11;"RO";"nao metropolitana"
5106752;51;"MT";"nao metropolitana"
4317400;43;"RS";"nao metropolitana"
5006309;50;"MS";"nao metropolitana"
4321501;43;"RS";"metropolitana"
1508407;15;"PA";"nao metropolitana"
3107406;31;"MG";"nao metropolitana"
4111803;41;"PR";"nao metropolitana"
