COD_UF;UF;COD_CIDADE;NOME_CIDADE;pop2018;area;hierarquia
29;BA;2919959;Maetinga;3577;614,834;Centro Local
25;PB;2506608;Ibiara;5956;244,484;Centro Local
31;MG;3126604;Francisco Dumont;5187;1576,128;Centro Local
27;AL;2705903;Olho d'Água Grande;5117;117,006;Centro Local
52;GO;5202809;Avelinópolis;2425;174,235;Centro Local
17;TO;1717800;Ponte Alta do Bom Jesus;4601;1806,141;Centro Local
22;PI;2209401;Santo Antônio de Lisboa;6388;385,135;Centro Local
25;PB;2513802;Santa Teresinha;4585;357,950;Centro Local
31;MG;3127503;Gonzaga;6145;209,348;Centro Local
22;PI;2206704;Nazaré do Piauí;7356;1315,840;Centro Local
22;PI;2200806;Antônio Almeida;3158;645,748;Centro Local
31;MG;3108503;Botumirim;6350;1568,884;Centro Local
52;GO;5214903;Nova Roma;3293;2135,960;Centro Local
22;PI;2200251;Alagoinha do Piauí;7636;535,807;Centro Local
52;GO;5212006;Jaupaci;2898;527,103;Centro Local
52;GO;5209457;Guarinos;1852;595,866;Centro Local
52;GO;5210307;Israelândia;2815;577,482;Centro Local
31;MG;3105509;Barão de Monte Alto;5443;198,313;Centro Local
42;SC;4208955;Jardinópolis;1595;67,495;Centro Local
28;SE;2806503;Santa Rosa de Lima;3904;67,672;Centro Local
22;PI;2202026;Buriti dos Montes;8223;2437,326;Centro Local
43;RS;4322186;Tupanci do Sul;1486;135,243;Centro Local
42;SC;4210704;Matos Costa;2560;435,338;Centro Local
52;GO;5209606;Heitoraí;3714;229,638;Centro Local
22;PI;2210201;São José do Piauí;6710;373,347;Centro Local
31;MG;3157401;Santa Cruz do Escalvado;4793;258,726;Centro Local
41;PR;4124202;Santo Antônio do Caiuá;2656;219,068;Centro Local
31;MG;3153202;Presidente Juscelino;3676;695,882;Centro Local
17;TO;1714302;Nazaré;3959;395,907;Centro Local
31;MG;3103207;Araçaí;2341;187,538;Centro Local
25;PB;2510402;Olho d'Água;6592;596,129;Centro Local
23;CE;2300606;Altaneira;7521;73,295;Centro Local
52;GO;5221452;Trombas;3501;799,125;Centro Local
31;MG;3105202;Bandeira;4825;483,789;Centro Local
31;MG;3132602;Itamarati de Minas;4333;94,568;Centro Local
22;PI;2209708;São Francisco do Piauí;6425;1340,665;Centro Local
21;MA;2106672;Milagres do Maranhão;8445;634,384;Centro Local
35;SP;3555703;União Paulista;1823;79,056;Centro Local
52;GO;5205703;Córrego do Ouro;2364;462,304;Centro Local
31;MG;3145372;Novorizonte;5273;271,610;Centro Local
31;MG;3170602;Vargem Bonita;2158;409,888;Centro Local
31;MG;3106655;Berizal;4705;488,756;Centro Local
25;PB;2501708;Barra de São Miguel;5939;595,213;Centro Local
41;PR;4107520;Esperança Nova;1732;138,560;Centro Local
31;MG;3112653;Capitão Andrade;5420;279,088;Centro Local
43;RS;4309126;Gramado dos Loureiros;2106;131,396;Centro Local
29;BA;2910909;Firmino Alves;5604;172,353;Centro Local
28;SE;2801108;Canhoba;4011;169,679;Centro Local
27;AL;2703908;Jundiá;4175;88,794;Centro Local
25;PB;2514453;São José dos Ramos;5915;98,188;Centro Local
25;PB;2500205;Aguiar;5571;344,708;Centro Local
52;GO;5209408;Guarani de Goiás;3940;1229,148;Centro Local
22;PI;2209971;São João do Arraial;7937;213,355;Centro Local
23;CE;2304608;General Sampaio;6956;205,810;Centro Local
52;GO;5207501;Estrela do Norte;3286;301,642;Centro Local
31;MG;3141702;Mesquita;5666;274,938;Centro Local
17;TO;1718881;Santa Maria do Tocantins;3381;1410,457;Centro Local
31;MG;3158409;Santana de Cataguases;3853;161,486;Centro Local
17;TO;1718550;Riachinho;4604;517,478;Centro Local
31;MG;3140605;Materlândia;4482;280,530;Centro Local
31;MG;3120102;Couto de Magalhães de Minas;4396;485,654;Centro Local
17;TO;1701051;Angico;3417;451,733;Centro Local
52;GO;5221577;Uirapuru;2868;1153,475;Centro Local
24;RN;2408508;Ouro Branco;4812;253,210;Centro Local
22;PI;2210631;Sebastião Leal;4286;3151,588;Centro Local
35;SP;3521200;Iporanga;4238;1152,059;Centro Local
31;MG;3125408;Felício dos Santos;4804;357,622;Centro Local
22;PI;2201051;Assunção do Piauí;7828;1690,703;Centro Local
25;PB;2512200;Prata;4141;192,011;Centro Local
31;MG;3150208;Piedade de Ponte Nova;4140;83,733;Centro Local
41;PR;4108551;Godoy Moreira;2996;131,012;Centro Local
24;RN;2406007;José da Penha;5957;117,635;Centro Local
27;AL;2705309;Minador do Negrão;5337;167,461;Centro Local
52;GO;5200209;Água Limpa;1872;452,858;Centro Local
51;MT;5107297;São José do Povo;4021;448,285;Centro Local
27;AL;2703700;Jaramataia;5597;105,863;Centro Local
25;PB;2509339;Matinhas;4516;38,124;Centro Local
