CODE_MUNI;YEAR;POPULACAO;CASESy;INCy
1200203;2022;94345;15;15,89909375
1200252;2014;16417;0;0
1200252;2015;16731;0;0
1200252;2016;17038;12;70,43080174
1200252;2017;17340;10;57,67012687
1200252;2018;18122;2;11,03630946
1200252;2019;18411;3;16,29460649
1200252;2020;18696;1;5,348737698
1200252;2021;18979;1;5,268981506
1200252;2022;18697;0;0
1200302;2014;32398;0;0
1200302;2015;32385;0;0
1200302;2016;32372;0;0
1200302;2017;32360;0;0
1200302;2018;34675;6;17,3035328
1200302;2019;34780;0;0
1200302;2020;34884;0;0
1200302;2021;34986;5;14,29143086
1200302;2022;35035;1;2,854288569
1200328;2014;7330;0;0
1200328;2015;7509;0;0
1200328;2016;7685;0;0
1200328;2017;7858;0;0
1200328;2018;8159;0;0
1200328;2019;8317;0;0
1200328;2020;8473;0;0
1200328;2021;8628;0;0
1200328;2022;11105;0;0
1200336;2014;16795;0;0
1200336;2015;17173;0;0
1200336;2016;17545;0;0
1200336;2017;17910;0;0
1200336;2018;18638;0;0
1200336;2019;18977;0;0
1200336;2020;19311;4;20,71358293
1200336;2021;19643;97;493,8145904
1200336;2022;19172;41;213,8535364
1200344;2014;8514;0;0
1200344;2015;8641;0;0
1200344;2016;8765;1;11,40901312
1200344;2017;8886;0;0
1200344;2018;9336;0;0
1200344;2019;9459;0;0
1200344;2020;9581;0;0
1200344;2021;9701;1;10,30821565
1200344;2022;12246;0;0
1200351;2014;16380;0;0
1200351;2015;16895;0;0
1200351;2016;17401;0;0
1200351;2017;17897;0;0
1200351;2018;18430;0;0
1200351;2019;18867;0;0
1200351;2020;19299;0;0
1200351;2021;19727;2;10,13838901
1200351;2022;16825;0;0
1200385;2014;17979;0;0
1200385;2015;18159;0;0
1200385;2016;18336;1;5,453752182
1200385;2017;18510;2;10,80497029
1200385;2018;19565;0;0
1200385;2019;19761;1;5,060472648
1200385;2020;19955;0;0
1200385;2021;20147;0;0
1200385;2022;16313;0;0
1200393;2014;10453;0;0
1200393;2015;10759;0;0
1200393;2016;11059;0;0
1200393;2017;11353;0;0
1200393;2018;11720;0;0
1200393;2019;11982;0;0
1200393;2020;12241;0;0
1200393;2021;12497;0;0
1200393;2022;10706;0;0
1200401;2014;363928;0;0
1200401;2015;370550;40;10,79476454
1200401;2016;377057;730;193,6046805
1200401;2017;383443;51;13,30054271
1200401;2018;401155;118;29,415064
1200401;2019;407319;33;8,101758082
1200401;2020;413418;29;7,014692152
1200401;2021;419452;12;2,860875619
1200401;2022;364368;12;3,293373732
1200427;2014;16475;0;0
1200427;2015;16974;0;0
1200427;2016;17464;0;0
1200427;2017;17945;1;5,572582892
1200427;2018;18504;0;0
1200427;2019;18930;0;0
1200427;2020;19351;0;0
1200427;2021;19767;6;30,35361967
1200427;2022;16072;0;0
1200435;2014;5593;0;0
1200435;2015;5809;0;0
1200435;2016;6021;0;0
1200435;2017;6230;0;0
1200435;2018;6362;0;0
1200435;2019;6540;0;0
1200435;2020;6717;0;0
1200435;2021;6893;0;0
