UF_ACR;CODE_MUNI_7;YEAR;CASES
PA;1507102;2018;6
PA;1507102;2019;2
PA;1507151;2015;1
PA;1507151;2016;556
PA;1507151;2017;79
PA;1507151;2019;1
PA;1507201;2016;2
PA;1507201;2017;12
PA;1507201;2018;6
PA;1507201;2020;4
PA;1507201;2021;2
PA;1507201;2022;1
PA;1507300;2017;18
PA;1507300;2018;3
PA;1507300;2020;1
PA;1507409;2015;3
PA;1507409;2016;1
PA;1507409;2017;1
PA;1507409;2018;6
PA;1507409;2019;2
PA;1507409;2020;1
PA;1507409;2021;2
PA;1507458;2015;1
PA;1507458;2016;2
PA;1507458;2017;124
PA;1507458;2018;1
PA;1507458;2022;1
PA;1507466;2014;1
PA;1507466;2016;4
PA;1507474;2016;9
PA;1507474;2017;59
PA;1507474;2018;29
PA;1507474;2019;5
PA;1507474;2020;19
PA;1507474;2021;1
PA;1507474;2022;2
PA;1507508;2017;12
PA;1507508;2021;1
PA;1507607;2016;4
PA;1507607;2017;1
PA;1507607;2018;4
PA;1507607;2019;6
PA;1507607;2022;10
PA;1507706;2018;4
PA;1507755;2016;270
PA;1507755;2017;179
PA;1507805;2021;1
PA;1507805;2022;1
PA;1507904;2017;237
PA;1507904;2018;1
PA;1507904;2019;3
PA;1507953;2016;1
PA;1507953;2017;79
PA;1507953;2018;111
PA;1507953;2021;2
PA;1507953;2022;3
PA;1507961;2018;1
PA;1507961;2021;1
PA;1507961;2022;1
PA;1508001;2015;1
PA;1508001;2016;5
PA;1508001;2018;5
PA;1508001;2019;45
PA;1508001;2020;1
PA;1508001;2022;1
PA;1508035;2018;18
PA;1508035;2019;4
PA;1508050;2020;1
PA;1508084;2017;4
PA;1508084;2019;1
PA;1508084;2022;1
PA;1508100;2016;57
PA;1508100;2017;209
PA;1508100;2018;46
PA;1508100;2019;10
PA;1508100;2020;4
PA;1508126;2016;83
PA;1508126;2017;1
PA;1508126;2022;3
PA;1508159;2016;1
PA;1508159;2018;3
PA;1508159;2020;1
PA;1508209;2016;4
PA;1508209;2017;59
PA;1508209;2018;11
PA;1508209;2019;5
PA;1508209;2020;2
PA;1508308;2018;25
PA;1508357;2017;1
PA;1508357;2018;1
PA;1508357;2019;2
PA;1508357;2021;4
PA;1508407;2015;1
PA;1508407;2016;23
PA;1508407;2017;1534
PA;1508407;2020;1
PA;1508407;2021;3
PA;1508407;2022;1
AP;1600055;2015;1
AP;1600055;2016;16
AP;1600055;2017;46
AP;1600055;2018;10
AP;1600154;2016;14
AP;1600154;2017;7
AP;1600154;2021;2
AP;1600204;2014;8
AP;1600204;2015;5
AP;1600204;2016;4
AP;1600238;2015;2
AP;1600238;2016;9
AP;1600238;2017;5
AP;1600279;2015;1
AP;1600279;2016;4
AP;1600279;2017;12
AP;1600279;2018;42
AP;1600279;2022;1
AP;1600303;2014;43
AP;1600303;2015;182
AP;1600303;2016;308
AP;1600303;2017;112
AP;1600303;2018;107
AP;1600303;2019;29
AP;1600303;2020;4
AP;1600303;2021;47
AP;1600303;2022;8
AP;1600402;2015;25
AP;1600402;2017;14
AP;1600402;2018;1
AP;1600402;2019;1
AP;1600402;2021;11
AP;1600402;2022;2
AP;1600501;2014;128
AP;1600501;2015;12
AP;1600501;2016;2
AP;1600501;2017;10
AP;1600501;2021;21
AP;1600501;2022;11
AP;1600535;2015;5
AP;1600535;2017;2
AP;1600600;2014;2
AP;1600600;2015;31
AP;1600600;2016;33
AP;1600600;2017;18
AP;1600600;2018;32
AP;1600600;2020;4
AP;1600600;2021;4
AP;1600600;2022;13
AP;1600808;2018;1
TO;1700251;2017;1
TO;1700251;2022;5
TO;1700301;2016;7
TO;1700301;2017;62
TO;1700301;2019;1
TO;1700301;2020;1
TO;1700301;2021;7
TO;1700301;2022;13
TO;1700400;2016;1
TO;1700400;2017;1
TO;1701002;2015;2
TO;1701002;2016;171
TO;1701002;2017;51
TO;1701002;2018;4
TO;1701002;2022;1
TO;1701051;2017;6
TO;1701051;2018;1
TO;1701051;2022;2
TO;1701101;2017;10
TO;1701101;2018;1
TO;1701101;2022;7
TO;1701309;2015;12
TO;1701309;2016;4
TO;1701309;2017;1
TO;1701309;2019;1
TO;1701309;2020;1
TO;1701309;2021;1
TO;1701309;2022;1
TO;1701903;2016;1
TO;1701903;2017;1
TO;1702000;2016;6
TO;1702000;2017;2
TO;1702000;2018;1
TO;1702000;2021;3
TO;1702000;2022;2
TO;1702109;2014;1
TO;1702109;2015;73
TO;1702109;2016;135
TO;1702109;2017;598
TO;1702109;2018;55
TO;1702109;2019;29
TO;1702109;2020;12
TO;1702109;2021;36
TO;1702109;2022;187
TO;1702158;2017;20
TO;1702158;2018;10
TO;1702208;2015;2
TO;1702208;2016;95
TO;1702208;2017;173
TO;1702208;2018;24
TO;1702208;2019;14
TO;1702307;2020;1
TO;1702307;2022;1
TO;1702406;2021;2
TO;1702406;2022;7
TO;1702554;2016;7
TO;1702554;2017;22
TO;1702554;2022;3
TO;1702703;2016;2
TO;1702703;2017;2
TO;1702703;2019;1
TO;1702703;2022;4
TO;1702901;2017;1
TO;1703008;2016;2
TO;1703008;2017;9
TO;1703008;2019;1
TO;1703008;2020;1
TO;1703008;2021;8
TO;1703008;2022;3
TO;1703057;2016;1
TO;1703057;2017;6
TO;1703073;2017;1
TO;1703107;2016;5
TO;1703107;2021;2
TO;1703107;2022;7
TO;1703206;2018;1
TO;1703305;2017;6
TO;1703701;2017;1
TO;1703701;2022;1
TO;1703800;2016;1
TO;1703800;2017;55
TO;1703800;2018;1
TO;1703826;2021;1
TO;1703842;2016;8
TO;1703842;2018;1
TO;1703867;2017;1
TO;1703867;2022;19
TO;1703883;2015;1
TO;1703883;2016;2
TO;1703883;2022;1
TO;1703891;2016;7
TO;1703891;2017;16
TO;1703891;2020;1
TO;1704105;2022;1
TO;1705102;2016;1
TO;1705102;2021;5
TO;1705102;2022;2
TO;1705508;2015;16
TO;1705508;2016;30
TO;1705508;2017;146
TO;1705508;2018;1
TO;1705508;2019;7
TO;1705508;2020;2
TO;1705508;2021;19
TO;1705508;2022;7
TO;1705557;2017;1
TO;1705557;2021;3
TO;1705557;2022;39
TO;1705607;2022;1
TO;1706001;2015;1
TO;1706001;2016;2
TO;1706001;2017;3
TO;1706001;2021;2
TO;1706001;2022;1
TO;1706100;2017;1
TO;1706258;2017;2
TO;1706506;2016;13
TO;1706506;2017;44
TO;1707009;2016;7
TO;1707009;2017;1
TO;1707009;2018;1
TO;1707009;2019;9
TO;1707009;2021;3
TO;1707009;2022;11
TO;1707108;2015;2
TO;1707108;2016;1
TO;1707108;2017;1
TO;1707108;2022;161
TO;1707207;2017;1
TO;1707207;2019;1
TO;1707207;2022;1
TO;1707306;2017;2
TO;1707306;2018;1
TO;1707306;2019;1
TO;1707405;2016;2
TO;1707405;2017;20
TO;1707405;2018;3
TO;1707405;2019;1
TO;1707405;2022;3
TO;1707553;2015;2
TO;1707553;2022;9
TO;1707652;2016;1
TO;1707652;2017;1
TO;1707652;2018;2
TO;1707702;2017;1
TO;1707702;2018;2
TO;1707702;2019;3
TO;1707702;2022;1
TO;1708205;2018;2
TO;1708205;2022;2
TO;1708254;2017;1
TO;1708254;2018;1
TO;1708254;2019;4
TO;1708254;2022;4
TO;1708304;2016;3
TO;1709005;2016;3
TO;1709005;2022;4
TO;1709302;2015;1
TO;1709302;2016;68
TO;1709302;2017;135
TO;1709302;2018;7
TO;1709302;2019;4
TO;1709302;2020;1
TO;1709302;2021;12
TO;1709302;2022;9
TO;1709500;2016;6
TO;1709500;2017;19
TO;1709500;2018;2
TO;1709500;2019;6
TO;1709500;2021;2
TO;1709500;2022;6
TO;1710508;2016;5
TO;1710508;2018;6
TO;1710508;2019;1
TO;1710706;2015;15
TO;1710706;2016;11
TO;1710706;2017;8
TO;1710904;2017;1
TO;1710904;2021;2
TO;1710904;2022;1
TO;1711100;2016;4
TO;1711100;2017;6
TO;1711100;2020;2
TO;1711100;2021;3
TO;1711100;2022;84
TO;1711803;2017;1
TO;1711902;2017;2
TO;1711902;2021;1
TO;1711902;2022;1
TO;1711951;2020;1
TO;1712009;2017;1
TO;1712009;2021;1
TO;1712157;2016;1
TO;1712157;2017;1
TO;1712157;2021;3
TO;1712454;2017;2
TO;1712801;2016;2
TO;1712801;2017;2
TO;1712801;2019;1
TO;1713205;2016;1
TO;1713205;2017;17
TO;1713205;2018;2
TO;1713205;2019;3
TO;1713205;2020;2
TO;1713205;2021;2
TO;1713205;2022;17
TO;1713304;2016;12
TO;1713304;2017;16
TO;1713304;2018;2
TO;1713304;2022;36
TO;1713601;2018;1
TO;1713700;2021;1
TO;1713809;2016;1
TO;1714203;2016;19
TO;1714203;2017;1
TO;1714203;2021;4
TO;1714203;2022;3
TO;1714302;2017;37
TO;1714302;2020;1
TO;1714880;2017;43
TO;1714880;2018;1
TO;1714880;2019;1
TO;1714880;2021;1
TO;1714880;2022;7
